Nom;Date;Heure
D470267 CAFE DE FRANCE;2021-07-22;10:30:00
D389813 TABAC ALIMENTATION;2021-07-15;10:00:00
D154953 BAR DES VOYAGEURS;2021-07-15;11:30:00
D193484 TABAC PROXI;2021-07-21;10:30:00
D179350 TABAC PRESSE LE SUISSE;2021-07-21;13:00:00
D380951 A LA PERCE NEIGE;2021-07-21;15:30:00
D301034 LE CENTRAL;2021-07-29;09:30:00
D385550 LE GALLUS;2021-07-26;09:00:00
D438610 TABAC PRESSE DU VIGNOBLE;2021-07-29;13:30:00
D392291 L ATLANTIC;2021-07-27;11:00:00
D130547 LE MARIGNY;2021-07-28;11:30:00
D388797 LE GUIERCHOIS;2021-07-15;10:00:00
D470991 CAFE DU MIDI;2021-07-29;09:00:00
D388799 LE BOOTZ;2021-07-12;09:00:00
D329290 LE LION D OR;2021-07-29;11:00:00
D358226 BAR TABAC CHEZ CHRISTOPHE;2021-07-22;09:00:00
D280785 CAFE DES SPORTS;2021-07-29;09:00:00
D354156 BAR TABAC DE L ARGOAD;2021-07-27;13:30:00
D226560 CHEZ JB;2021-07-27;09:00:00
D208016 LA BELLE ETOILE;2021-07-20;13:30:00
D240115 LE TRELIVAN;2021-07-22;13:30:00
D472396 LA FRAICH HEURE;2021-07-27;10:30:00
D132675 TABAC;2021-07-29;09:00:00
D444232 LE CLAM;2021-07-27;09:00:00
D350261 THOMI;2021-07-27;09:00:00
D207930 RHUYS BAR;2021-07-16;09:00:00
D476670 LA SOURIS VERTE;2021-07-21;09:00:00
D290791 L ETRIER;2021-07-27;09:00:00
D387159 LE BAROC H;2021-07-29;09:00:00
D243234 LA P  TITE BOUFFE;2021-07-27;09:30:00
D311503 CAFE DES SPORTS  MERNEL;2021-07-30;09:00:00
D372693 LE SYMPATIC BAR  LASSY;2021-07-30;10:30:00
D472899 LE SPORTING BAR;2021-07-12;09:30:00
D471384 LE FORBAN;2021-07-27;13:30:00
D134085 BAR DE L HOTEL DE VILLE;2021-07-21;15:00:00
D471294 LE FEROLLIOT;2021-07-20;09:00:00
D368233 BAR DU RIO;2021-07-21;09:00:00
D405391 TABAC PRESSE LOTO DES CHAISES;2021-07-27;09:00:00
D387630 LE DROP;2021-07-27;09:00:00
D347377 LE BARABOU;2021-07-28;09:00:00
D456734 SIM'SERVICES;2021-07-29;09:00:00
D297277 LE BRAZZA;2021-07-13;09:00:00
D319350 LE RELAX;2021-07-15;09:00:00
D344691 CHEZ THIERRY;2021-07-29;09:00:00
